T;Ax;Ay;Az;CLASS
26950.00;0.68;-0.07;0.10;Positive
27000.00;1.26;-0.23;-0.18;Positive
27050.00;1.22;-0.23;-0.15;Positive
27100.00;0.94;-0.17;0.03;Positive
27150.00;0.48;-0.11;0.36;Positive
27200.00;0.13;-0.30;0.42;Positive
27250.00;-0.83;-0.28;0.67;Positive
27300.00;-1.24;-0.23;1.06;Positive
27350.00;-0.95;-0.19;1.05;Positive
27400.00;-0.52;-0.26;0.81;Positive
27450.00;-0.41;-0.25;0.79;Positive
27500.00;-0.59;-0.22;0.85;Positive
27550.00;-0.59;-0.19;0.86;Positive
27600.00;-0.52;-0.22;0.85;Positive
27650.00;-0.53;-0.21;0.85;Positive
27700.00;-0.51;-0.21;0.85;Positive
27750.00;-0.48;-0.21;0.86;Positive
27800.00;-0.50;-0.19;0.85;Positive
27850.00;-0.64;-0.19;0.96;Positive
27900.00;-0.70;-0.16;1.07;Positive
27950.00;-0.75;-0.19;1.11;Positive
28000.00;-0.63;-0.19;0.52;Positive
28050.00;0.29;-0.13;-0.79;Positive
28100.00;2.00;-0.46;-1.28;Positive
28150.00;0.69;-0.00;0.09;Positive
28200.00;0.68;-0.22;0.08;Positive
28250.00;1.39;-0.30;-0.25;Positive
28300.00;1.11;-0.18;-0.09;Positive
28350.00;0.74;-0.19;0.06;Positive
28400.00;0.16;-0.12;0.32;Positive
28450.00;-0.53;-0.21;0.40;Positive
28500.00;-1.56;-0.15;0.98;Positive
28550.00;-1.37;-0.07;1.16;Positive
28600.00;-0.51;-0.17;0.70;Positive
28650.00;-0.33;-0.21;0.65;Positive
28700.00;-0.58;-0.11;0.81;Positive
28750.00;-0.64;-0.13;0.87;Positive
28800.00;-0.54;-0.18;0.83;Positive
28850.00;-0.53;-0.18;0.83;Positive
28900.00;-0.61;-0.16;0.86;Positive
28950.00;-0.63;-0.16;0.86;Positive
29000.00;-0.65;-0.14;0.92;Positive
29050.00;-0.65;-0.13;0.98;Positive
29100.00;-0.73;-0.11;1.10;Positive
29150.00;-0.41;-0.16;1.04;Positive
29200.00;-0.41;-0.11;0.61;Positive
29250.00;0.26;-0.22;-0.58;Positive
29300.00;2.00;-0.41;-1.33;Positive
29350.00;0.86;-0.00;-0.00;Positive
29400.00;0.69;-0.37;-0.03;Positive
29450.00;1.26;-0.23;-0.24;Positive
29500.00;1.05;-0.19;-0.09;Positive
29550.00;1.03;-0.25;0.02;Positive
29600.00;0.67;-0.18;0.30;Positive
29650.00;0.34;-0.25;0.48;Positive
29700.00;-0.40;-0.25;0.54;Positive
29750.00;-1.08;-0.22;0.76;Positive
29800.00;-1.26;-0.13;1.05;Positive
29850.00;-0.95;-0.14;0.93;Positive
29900.00;-0.48;-0.22;0.69;Positive
29950.00;-0.51;-0.16;0.72;Positive
30000.00;-0.65;-0.12;0.79;Positive
30050.00;-0.65;-0.16;0.77;Positive
30100.00;-0.60;-0.16;0.79;Positive
30150.00;-0.63;-0.14;0.81;Positive
30200.00;-0.63;-0.18;0.80;Positive
30250.00;-0.78;-0.13;0.95;Positive
30300.00;-0.80;-0.15;0.99;Positive
30350.00;-0.61;-0.16;0.96;Positive
30400.00;-0.51;-0.14;0.99;Positive
30450.00;-0.35;-0.16;0.24;Positive
30500.00;0.63;-0.25;-0.96;Positive
